trade_id,symbol,timestamp,entry_score,entry_price,pnl_usd,pnl_pct,hold_minutes,source
SLB_2026-02-19T15:57:00+00:00,SLB,2026-02-19T15:57:00+00:00,2.561,51.63,11.62,0.1162,5,simulation
SLB_2026-02-19T15:58:00+00:00,SLB,2026-02-19T15:58:00+00:00,2.561,51.65,2.9,0.029,5,simulation
SLB_2026-02-19T15:59:00+00:00,SLB,2026-02-19T15:59:00+00:00,2.561,51.655,4.84,0.0484,5,simulation
SLB_2026-02-19T16:00:00+00:00,SLB,2026-02-19T16:00:00+00:00,2.561,51.7,9.67,0.0967,5,simulation
SLB_2026-02-19T16:01:00+00:00,SLB,2026-02-19T16:01:00+00:00,2.561,51.66,14.52,0.1452,5,simulation
SLB_2026-02-19T16:02:00+00:00,SLB,2026-02-19T16:02:00+00:00,2.561,51.69,6.77,0.0677,5,simulation
SLB_2026-02-19T16:03:00+00:00,SLB,2026-02-19T16:03:00+00:00,2.561,51.665,12.58,0.1258,5,simulation
SLB_2026-02-19T16:04:00+00:00,SLB,2026-02-19T16:04:00+00:00,2.561,51.68,17.41,0.1741,5,simulation
SLB_2026-02-19T16:05:00+00:00,SLB,2026-02-19T16:05:00+00:00,2.559,51.75,3.86,0.0386,5,simulation
SLB_2026-02-19T16:06:00+00:00,SLB,2026-02-19T16:06:00+00:00,2.559,51.735,2.9,0.029,5,simulation
SLB_2026-02-19T16:07:00+00:00,SLB,2026-02-19T16:07:00+00:00,2.559,51.725,5.8,0.058,5,simulation
SLB_2026-02-19T16:08:00+00:00,SLB,2026-02-19T16:08:00+00:00,2.559,51.73,1.93,0.0193,5,simulation
SLB_2026-02-19T16:09:00+00:00,SLB,2026-02-19T16:09:00+00:00,2.559,51.77,0.0,0.0,5,simulation
SLB_2026-02-19T16:10:00+00:00,SLB,2026-02-19T16:10:00+00:00,2.559,51.77,0.0,0.0,5,simulation
SLB_2026-02-19T16:11:00+00:00,SLB,2026-02-19T16:11:00+00:00,2.559,51.75,14.49,0.1449,5,simulation
SLB_2026-02-19T16:12:00+00:00,SLB,2026-02-19T16:12:00+00:00,2.559,51.755,14.49,0.1449,5,simulation
SLB_2026-02-19T16:13:00+00:00,SLB,2026-02-19T16:13:00+00:00,2.559,51.74,23.19,0.2319,5,simulation
